执行时间|信号日期|模式|股票代码|股票名称|信号价格|评分|详情
2025-10-27 19:26:57|2025-10-27|breakout_b|000547|航天发展|8.04|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.21 (VCP 参考: VCP-C, Score: 2.43) ***
2025-10-27 19:26:57|2025-10-27|breakout_b|000555|神州信息|15.19|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.41 (VCP 参考: VCP-B, Score: 2.65) ***
2025-10-27 19:26:57|2025-10-27|breakout_b|000632|三木集团|4.38|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.68 (VCP 参考: VCP-C, Score: 1.57) ***
2025-10-27 19:26:57|2025-10-27|breakout_b|000633|合金投资|6.89|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.82 (VCP 参考: VCP-C, Score: 2.26) ***
2025-10-27 19:26:57|2025-10-27|breakout_b|001223|欧克科技|57.18|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.40 (VCP 参考: VCP-B, Score: 2.62) ***
2025-10-27 19:26:57|2025-10-27|breakout_b|003009|中天火箭|54.92|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.69 (VCP 参考: VCP-B, Score: 2.83) ***
2025-10-27 19:26:57|2025-10-27|breakout_b|300445|康斯特|20.24|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.07 (VCP 参考: VCP-C, Score: 1.92) ***
2025-10-27 19:26:57|2025-10-27|breakout_b|300508|维宏股份|32.36|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.15 (VCP 参考: VCP-C, Score: 1.54) ***
2025-10-27 19:26:57|2025-10-27|breakout_b|301616|浙江华业|56.26|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.03 (VCP 参考: VCP-B, Score: 2.68) ***
2025-10-27 19:26:57|2025-10-27|breakout_b|600855|航天长峰|15.28|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.13 (VCP 参考: VCP-B, Score: 3.39) ***
2025-10-27 19:26:57|2025-10-27|breakout_b|600989|宝丰能源|18.48|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.25 (VCP 参考: VCP-C, Score: 1.98) ***
2025-10-27 19:26:57|2025-10-27|breakout_b|688636|智明达|37.37|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.38 (VCP 参考: VCP-B, Score: 3.12) ***
2025-10-28 22:25:46|2025-10-28|breakout_a|002173|创新医疗|24.59|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.00 (VCP 参考: VCP-C, Score: 1.54) ***
2025-10-28 22:25:46|2025-10-28|breakout_a|002378|章源钨业|13.33|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.35 (VCP 参考: VCP-B, Score: 2.82) ***
2025-10-28 22:25:46|2025-10-28|breakout_a|603978|深圳新星|25.18|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 1.04 (VCP 参考: VCP-C, Score: 1.56) ***
2025-10-28 22:25:46|2025-10-28|breakout_a|601608|中信重工|7.75|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.59 (VCP 参考: VCP-D, Score: 0.53) ***
2025-10-28 22:25:46|2025-10-28|breakout_a|603232|格尔软件|22.21|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 1.00 (VCP 参考: VCP-D, Score: 1.05) ***
2025-10-28 22:25:46|2025-10-28|breakout_a|600802|福建水泥|7.10|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 1.01 (VCP 参考: VCP-D, Score: 1.39) ***
2025-10-28 22:27:04|2025-10-28|rebound_a|000626|远大控股|8.19|0|*** 止跌反弹买入信号触发 @ 8.19 ***; 主升浪高点: 10.74 (2025-10-20); 回调幅度: 23.74%; 买入仓位: 80%
2025-10-28 22:27:04|2025-10-28|rebound_a|002885|京泉华|24.68|0|*** 止跌反弹买入信号触发 @ 24.68 ***; 主升浪高点: 26.26 (2025-10-16); 回调幅度: 6.02%; 买入仓位: 80%
2025-10-28 22:27:04|2025-10-28|rebound_a|002320|海峡股份|13.47|0|*** 止跌反弹买入信号触发 @ 13.47 ***; 主升浪高点: 14.70 (2025-10-21); 回调幅度: 8.37%; 买入仓位: 80%
2025-10-28 22:28:08|2025-10-28|breakout_b|000733|振华科技|53.60|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.25 (VCP 参考: VCP-C, Score: 1.86) ***
2025-10-28 22:28:08|2025-10-28|breakout_b|002578|闽发铝业|3.68|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 1.06 (VCP 参考: VCP-C, Score: 1.94) ***
2025-10-28 22:28:08|2025-10-28|breakout_b|002682|龙洲股份|5.40|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.54 (VCP 参考: VCP-D, Score: 1.19) ***
2025-10-28 22:28:08|2025-10-28|breakout_b|002806|华锋股份|13.60|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.35 (VCP 参考: VCP-D, Score: 1.45) ***
2025-10-28 22:28:08|2025-10-28|breakout_b|002829|星网宇达|27.06|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.29 (VCP 参考: VCP-C, Score: 1.99) ***
2025-10-28 22:28:08|2025-10-28|breakout_b|300407|凯发电气|12.47|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.38 (VCP 参考: VCP-C, Score: 1.82) ***
2025-10-28 22:28:08|2025-10-28|breakout_b|300412|迦南科技|5.92|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.61 (VCP 参考: VCP-C, Score: 1.93) ***
2025-10-28 22:28:08|2025-10-28|breakout_b|300712|永福股份|27.72|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.27 (VCP 参考: VCP-C, Score: 2.17) ***
2025-10-28 22:28:08|2025-10-28|breakout_b|301283|聚胶股份|49.57|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.34 (VCP 参考: VCP-C, Score: 1.74) ***
2025-10-28 22:28:08|2025-10-28|breakout_b|301313|凡拓数创|29.01|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.81 (VCP 参考: VCP-C, Score: 1.85) ***
2025-10-28 22:28:08|2025-10-28|breakout_b|301665|泰禾股份|30.84|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.33 (VCP 参考: VCP-D, Score: 1.04) ***
2025-10-28 22:28:08|2025-10-28|breakout_b|600805|悦达投资|5.46|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.04 (VCP 参考: VCP-C, Score: 2.24) ***
2025-10-29 21:29:15|2025-10-29|breakout_a|603256|宏和科技|42.33|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 1.00 (VCP 参考: VCP-C, Score: 1.75) ***
2025-10-29 21:29:15|2025-10-29|breakout_a|002248|华东数控|11.49|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 1.26 (VCP 参考: VCP-A, Score: 3.61) ***
2025-10-29 21:29:15|2025-10-29|breakout_a|002104|恒宝股份|23.54|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.48 (VCP 参考: VCP-A, Score: 3.54) ***
2025-10-29 21:29:15|2025-10-29|breakout_a|002782|可立克|19.76|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 1.00 (VCP 参考: VCP-D, Score: 1.43) ***
2025-10-29 21:29:15|2025-10-29|breakout_a|600658|电子城|6.45|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.53 (VCP 参考: VCP-B, Score: 3.00) ***
2025-10-29 21:29:15|2025-10-29|breakout_a|600118|中国卫星|42.50|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 1.41 (VCP 参考: VCP-C, Score: 1.52) ***
2025-10-29 21:29:15|2025-10-29|breakout_a|301526|国际复材|6.78|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.46 (VCP 参考: VCP-B, Score: 2.86) ***
2025-10-29 21:29:15|2025-10-29|breakout_a|002407|多氟多|24.94|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.91 (VCP 参考: VCP-D, Score: 0.89) ***
2025-10-29 21:29:15|2025-10-29|breakout_a|300619|金银河|45.54|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.25 (VCP 参考: VCP-D, Score: 1.12) ***
2025-10-29 21:29:15|2025-10-29|breakout_a|002054|德美化工|9.01|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 1.33 (VCP 参考: VCP-D, Score: 0.86) ***
2025-10-29 21:29:15|2025-10-29|breakout_a|300358|楚天科技|11.69|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.46 (VCP 参考: VCP-D, Score: 1.33) ***
2025-10-29 21:29:15|2025-10-29|breakout_a|600516|方大炭素|6.25|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 1.00 (VCP 参考: VCP-C, Score: 1.62) ***
2025-10-29 21:29:15|2025-10-29|breakout_a|603122|合富中国|8.09|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 1.01 (VCP 参考: VCP-D, Score: 0.88) ***
2025-10-29 21:30:27|2025-10-29|rebound_a|600769|祥龙电业|14.47|0|*** 止跌反弹买入信号触发 @ 14.47 ***; 主升浪高点: 14.40 (2025-10-14); 回调幅度: -0.49%; 买入仓位: 80%
2025-10-29 21:30:27|2025-10-29|rebound_a|600617|国新能源|3.64|0|*** 止跌反弹买入信号触发 @ 3.64 ***; 主升浪高点: 4.64 (2025-10-21); 回调幅度: 21.55%; 买入仓位: 80%
2025-10-29 21:30:27|2025-10-29|rebound_a|600748|上实发展|6.88|0|*** 止跌反弹买入信号触发 @ 6.88 ***; 主升浪高点: 7.73 (2025-10-22); 回调幅度: 11.00%; 买入仓位: 80%
2025-10-29 21:30:27|2025-10-29|rebound_a|002490|山东墨龙|7.33|0|*** 止跌反弹买入信号触发 @ 7.33 ***; 主升浪高点: 9.36 (2025-10-23); 回调幅度: 21.69%; 买入仓位: 80%
2025-10-29 21:30:27|2025-10-29|rebound_a|300179|四方达|13.36|0|*** 止跌反弹买入信号触发 @ 13.36 ***; 主升浪高点: 12.87 (2025-10-14); 回调幅度: -3.81%; 买入仓位: 80%
2025-10-29 21:30:27|2025-10-29|rebound_a|600708|光明地产|4.04|0|*** 止跌反弹买入信号触发 @ 4.04 ***; 主升浪高点: 4.48 (2025-10-22); 回调幅度: 9.82%; 买入仓位: 80%
2025-10-29 21:31:54|2025-10-29|breakout_b|000543|皖能电力|8.67|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.23 (VCP 参考: VCP-D, Score: 1.39) ***
2025-10-29 21:31:54|2025-10-29|breakout_b|000636|风华高科|17.67|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.65 (VCP 参考: VCP-C, Score: 1.81) ***
2025-10-29 21:31:54|2025-10-29|breakout_b|002643|万润股份|13.99|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.02 (VCP 参考: VCP-C, Score: 2.07) ***
2025-10-29 21:31:54|2025-10-29|breakout_b|002880|卫光生物|27.67|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.35 (VCP 参考: VCP-C, Score: 1.79) ***
2025-10-29 21:31:54|2025-10-29|breakout_b|300358|楚天科技|11.69|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.46 (VCP 参考: VCP-D, Score: 1.33) ***
2025-10-29 21:31:54|2025-10-29|breakout_b|300461|田中精机|21.50|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.11 (VCP 参考: VCP-D, Score: 1.45) ***
2025-10-29 21:31:54|2025-10-29|breakout_b|300644|南京聚隆|36.90|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.20 (VCP 参考: VCP-B, Score: 2.82) ***
2025-10-29 21:31:54|2025-10-29|breakout_b|300771|智莱科技|14.23|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.51 (VCP 参考: VCP-D, Score: 1.34) ***
2025-10-29 21:31:54|2025-10-29|breakout_b|301509|金凯生科|38.32|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.12 (VCP 参考: VCP-C, Score: 1.93) ***
2025-10-29 21:31:54|2025-10-29|breakout_b|301526|国际复材|6.78|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.46 (VCP 参考: VCP-B, Score: 2.86) ***
2025-10-29 21:31:54|2025-10-29|breakout_b|301566|达利凯普|18.53|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.27 (VCP 参考: VCP-C, Score: 1.78) ***
2025-10-29 21:31:54|2025-10-29|breakout_b|600560|金自天正|18.23|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.20 (VCP 参考: VCP-C, Score: 1.79) ***
2025-10-29 21:31:54|2025-10-29|breakout_b|600658|电子城|6.45|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.53 (VCP 参考: VCP-B, Score: 3.00) ***
2025-10-29 21:31:54|2025-10-29|breakout_b|601199|江南水务|5.86|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.63 (VCP 参考: VCP-B, Score: 2.93) ***
2025-10-29 21:31:54|2025-10-29|breakout_b|603787|新日股份|14.00|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.58 (VCP 参考: VCP-C, Score: 1.60) ***
2025-10-29 21:31:54|2025-10-29|breakout_b|605058|澳弘电子|32.12|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.06 (VCP 参考: VCP-C, Score: 2.12) ***
2025-10-30 23:12:02|2025-10-30|breakout_a|002176|江特电机|11.35|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 1.00 (VCP 参考: VCP-C, Score: 2.12) ***
2025-10-30 23:12:02|2025-10-30|breakout_a|301217|铜冠铜箔|38.38|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.24 (VCP 参考: VCP-D, Score: 0.76) ***
2025-10-30 23:12:02|2025-10-30|breakout_a|301232|飞沃科技|43.82|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.70 (VCP 参考: VCP-C, Score: 1.58) ***
2025-10-30 23:12:02|2025-10-30|breakout_a|603067|振华股份|23.98|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 1.00 (VCP 参考: VCP-F, Score: 0.47) ***
2025-10-30 23:13:21|2025-10-30|rebound_a|603038|华立股份|20.76|0|*** 止跌反弹买入信号触发 @ 20.76 ***; 主升浪高点: 21.66 (2025-10-20); 回调幅度: 4.16%; 买入仓位: 80%
2025-10-30 23:13:21|2025-10-30|rebound_a|688122|西部超导|84.45|0|*** 止跌反弹买入信号触发 @ 84.45 ***; 主升浪高点: 77.32 (2025-10-14); 回调幅度: -9.22%; 买入仓位: 80%
2025-10-30 23:13:21|2025-10-30|rebound_a|300260|新莱应材|64.46|0|*** 止跌反弹买入信号触发 @ 64.46 ***; 主升浪高点: 74.78 (2025-10-14); 回调幅度: 13.80%; 买入仓位: 80%
2025-10-30 23:13:21|2025-10-30|rebound_a|000006|深振业Ａ|12.65|0|*** 止跌反弹买入信号触发 @ 12.65 ***; 主升浪高点: 13.79 (2025-10-14); 回调幅度: 8.27%; 买入仓位: 80%
2025-10-30 23:13:21|2025-10-30|rebound_a|600179|安通控股|4.32|0|*** 止跌反弹买入信号触发 @ 4.32 ***; 主升浪高点: 4.71 (2025-10-20); 回调幅度: 8.28%; 买入仓位: 80%
2025-10-30 23:42:21|2025-10-30|breakout_a|002176|江特电机|11.35|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 1.00 (VCP 参考: VCP-C, Score: 2.12) ***
2025-10-30 23:42:21|2025-10-30|breakout_a|301217|铜冠铜箔|38.38|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.24 (VCP 参考: VCP-D, Score: 0.76) ***
2025-10-30 23:42:21|2025-10-30|breakout_a|301232|飞沃科技|43.82|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.70 (VCP 参考: VCP-C, Score: 1.58) ***
2025-10-30 23:42:21|2025-10-30|breakout_a|603067|振华股份|23.98|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 1.00 (VCP 参考: VCP-F, Score: 0.47) ***
2025-10-30 23:43:37|2025-10-30|rebound_a|603038|华立股份|20.76|0|*** 止跌反弹买入信号触发 @ 20.76 ***; 主升浪高点: 21.66 (2025-10-20); 回调幅度: 4.16%; 买入仓位: 80%
2025-10-30 23:43:37|2025-10-30|rebound_a|688122|西部超导|84.45|0|*** 止跌反弹买入信号触发 @ 84.45 ***; 主升浪高点: 77.32 (2025-10-14); 回调幅度: -9.22%; 买入仓位: 80%
2025-10-30 23:43:37|2025-10-30|rebound_a|300260|新莱应材|64.46|0|*** 止跌反弹买入信号触发 @ 64.46 ***; 主升浪高点: 74.78 (2025-10-14); 回调幅度: 13.80%; 买入仓位: 80%
2025-10-30 23:43:37|2025-10-30|rebound_a|000006|深振业Ａ|12.65|0|*** 止跌反弹买入信号触发 @ 12.65 ***; 主升浪高点: 13.79 (2025-10-14); 回调幅度: 8.27%; 买入仓位: 80%
2025-10-30 23:43:37|2025-10-30|rebound_a|600179|安通控股|4.32|0|*** 止跌反弹买入信号触发 @ 4.32 ***; 主升浪高点: 4.71 (2025-10-20); 回调幅度: 8.28%; 买入仓位: 80%
2025-10-31 20:03:06|2025-10-31|breakout_a|002083|孚日股份|5.99|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 1.07 (VCP 参考: VCP-C, Score: 1.63) ***
2025-10-31 20:03:06|2025-10-31|breakout_a|002370|亚太药业|7.93|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 1.00 (VCP 参考: VCP-D, Score: 0.88) ***
2025-10-31 20:03:06|2025-10-31|breakout_a|002374|中锐股份|3.34|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.99 (VCP 参考: VCP-D, Score: 1.38) ***
2025-10-31 20:03:06|2025-10-31|breakout_a|002679|福建金森|14.00|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 1.00 (VCP 参考: VCP-D, Score: 1.38) ***
2025-10-31 20:03:06|2025-10-31|breakout_a|003036|泰坦股份|20.16|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 1.00 (VCP 参考: VCP-B, Score: 2.80) ***
2025-10-31 20:03:06|2025-10-31|breakout_a|300092|科新机电|19.13|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 1.61 (VCP 参考: VCP-C, Score: 2.40) ***
2025-10-31 20:03:06|2025-10-31|breakout_a|300163|先锋新材|5.18|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 1.24 (VCP 参考: VCP-D, Score: 0.86) ***
2025-10-31 20:03:06|2025-10-31|breakout_a|300322|硕贝德|25.10|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.14 (VCP 参考: VCP-B, Score: 3.15) ***
2025-10-31 20:03:06|2025-10-31|breakout_a|600110|诺德股份|7.08|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 1.28 (VCP 参考: VCP-A, Score: 3.52) ***
2025-10-31 20:03:06|2025-10-31|breakout_a|600774|汉商集团|9.91|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.45 (VCP 参考: VCP-B, Score: 2.60) ***
2025-10-31 20:03:06|2025-10-31|breakout_a|603538|美诺华|23.83|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.70 (VCP 参考: VCP-B, Score: 2.98) ***
2025-10-31 20:03:06|2025-10-31|breakout_a|688622|禾信仪器|156.59|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 1.62 (VCP 参考: VCP-D, Score: 1.06) ***
2025-10-31 20:04:24|2025-10-31|rebound_a|001231|农心科技|22.54|0|*** 止跌反弹买入信号触发 @ 22.54 ***; 主升浪高点: 28.51 (2025-10-27); 回调幅度: 20.94%; 买入仓位: 80%
2025-10-31 20:04:24|2025-10-31|rebound_a|002678|珠江钢琴|4.98|0|*** 止跌反弹买入信号触发 @ 4.98 ***; 主升浪高点: 6.81 (2025-10-24); 回调幅度: 26.87%; 买入仓位: 80%
2025-10-31 20:04:24|2025-10-31|rebound_a|300675|建科院|17.17|0|*** 止跌反弹买入信号触发 @ 17.17 ***; 主升浪高点: 20.74 (2025-10-23); 回调幅度: 17.21%; 买入仓位: 80%
2025-10-31 20:04:24|2025-10-31|rebound_a|301231|荣信文化|39.60|0|*** 止跌反弹买入信号触发 @ 39.60 ***; 主升浪高点: 38.03 (2025-10-23); 回调幅度: -4.13%; 买入仓位: 80%
2025-10-31 20:04:24|2025-10-31|rebound_a|600408|安泰集团|3.11|0|*** 止跌反弹买入信号触发 @ 3.11 ***; 主升浪高点: 3.27 (2025-10-20); 回调幅度: 4.89%; 买入仓位: 80%
2025-10-31 20:04:24|2025-10-31|rebound_a|605318|法狮龙|65.55|0|*** 止跌反弹买入信号触发 @ 65.55 ***; 主升浪高点: 58.15 (2025-10-16); 回调幅度: -12.73%; 买入仓位: 80%
2025-11-03 22:00:23|2025-11-03|breakout_a|002196|方正电机|11.64|0|*** 二次确认信号已执行，解除观察模式，当前过热分: 0.64 (VCP 参考: VCP-D, Score: 1.23) ***
2025-11-03 22:00:23|2025-11-03|breakout_a|002210|飞马国际|4.45|0|买入信号: 止损纠错 (价格=4.45 在MA5±区间内 (+7.9%), VCP: VCP-C, Score: 1.89)
2025-11-03 22:00:23|2025-11-03|breakout_a|002374|中锐股份|3.25|0|买入信号: 回踩确认 (价格=3.25 在MA5±区间内 (+7.0%), VCP: VCP-C, Score: 1.50)
2025-11-03 22:00:23|2025-11-03|breakout_a|002679|福建金森|13.76|0|买入信号: 回踩确认 (价格=13.76 在MA5±区间内 (+6.9%), VCP: VCP-D, Score: 1.36)
2025-11-03 22:00:23|2025-11-03|breakout_a|300478|杭州高新|27.83|0|*** 二次确认信号已发出，解除观察模式，当前过热分: 0.82 (VCP 参考: VCP-C, Score: 1.94) ***
2025-11-03 22:00:23|2025-11-03|breakout_a|600410|华胜天成|20.66|6|买入信号:【快速通道】【B级】 (VCP: VCP-B, Score: 2.56)
2025-11-03 22:00:23|2025-11-03|breakout_a|603127|昭衍新药|36.18|6|买入信号:【快速通道】【B级】 (VCP: VCP-B, Score: 2.63)
2025-11-03 22:01:23|2025-11-03|rebound_a|002748|世龙实业|12.41|0|*** 止跌反弹买入信号触发 @ 12.41 ***; 主升浪高点: 16.92 (2025-10-27); 回调幅度: 26.65%; 买入仓位: 80%
